# Names recovered by hand, one line per function:
# address<TAB>name<TAB>evidence. Merged by tools/inventory.py, and applied
# to config/GEAE8P/symbols.txt so build/dtk/obj/ carries them too. The
# evidence column is what makes an entry trustworthy: it says what fixed
# the name, so a reader can disagree with it. The first block below comes
# from diagnostic strings that name their own routine ("scptLoad: Len is
# zero"), counted only where exactly one function references the string.
0x80005600	OSCheckHeap	self-naming string
0x800A8FE0	eff_smoke2	self-naming string
0x800BF9A0	eff_smoke3	self-naming string
0x800C04D8	eff_motLight	self-naming string
0x8014996C	eff_smoke3_2	self-naming string
0x801C6714	akFioReadASync	self-naming string
0x801C6C7C	akFioRead	self-naming string
0x801F60F0	scptSTUB	self-naming string
0x801F6120	scptAnarize	self-naming string
0x801F7158	scptLoad	self-naming string
0x801F7958	scptArrayAlloc	self-naming string
0x801F8608	scptPlayMO3	self-naming string
0x801F88D4	scptMV2	self-naming string
0x801F8D0C	scptPlayMO2	self-naming string
0x801F8F7C	scptParentOff	self-naming string
0x801F9120	scptParentOn	self-naming string
0x801FA630	scptMvj	self-naming string
0x801FABDC	scptMVSF	self-naming string
0x801FB120	scptMVS	self-naming string
0x801FB664	scptMVF	self-naming string
0x801FBBA8	scptDefMO	self-naming string
0x801FBD9C	scptPlayColMO	self-naming string
0x801FBF90	scptPlayMO	self-naming string
0x801FC184	scptRollP	self-naming string
0x801FC408	scptRollA	self-naming string
0x801FC68C	scptMVR	self-naming string
0x801FCAAC	scptMV	self-naming string
0x801FD584	scptParentOffD	self-naming string
0x801FD668	scptParentOnD	self-naming string
0x801FDAB8	scptKeyWait	self-naming string
0x801FF1E0	scptKill	self-naming string
0x802019F8	scptHset	self-naming string
0x80201B6C	scptHSetTask	self-naming string
0x80201CE0	scptHread	self-naming string
0x80201E54	scptHchange	self-naming string
0x80202004	scptHclose	self-naming string
0x802021B8	scptHopen	self-naming string
0x802023BC	scptMVCA3	self-naming string
0x80202DEC	scptMVCALP	self-naming string
0x802034B0	scptMVCA	self-naming string
0x80203FFC	scptMVCB2	self-naming string
0x80207830	scptCl	self-naming string
0x80207A40	scptRet	self-naming string
0x80207ED0	scptNecA	self-naming string
0x80208044	scptPutP	self-naming string
0x80208234	scptPutA	self-naming string
0x80208424	scptNormalFace	self-naming string
0x802085CC	scptFace	self-naming string
0x80208774	scptLetsTalk	self-naming string
0x802088D8	scptEnter	self-naming string
0x80208A20	scptChangeParts	self-naming string
0x80209028	scptClF	self-naming string
0x80209330	scptFin	self-naming string
0x802097C0	scptMapDefMO	self-naming string
0x8020A584	scptSELECT1	self-naming string
0x8020A938	scptPRINT	self-naming string
0x8020D848	scptUkisuguR	self-naming string
0x80210860	tolObjSendEnter	self-naming string
0x80210B44	scptTskDestruct	self-naming string
0x802126C8	scptInitial	self-naming string
0x8023AB88	DVDReadAsync	self-naming string
0x8025EF48	strncmp	MSL source match
0x8025F0B0	strcat	MSL source match
0x8025F0DC	strncpy	MSL source match
0x8025F120	strcpy	MSL word-copy strcpy
0x8025F1F4	atoi	calls __strtol with base 10
0x8025ED74	strstr	MSL source match
0x8022A7F4	aramCacheRestore	table copied from low memory
0x8022A824	aramCacheSave	table copied to low memory
0x8022AE04	aramCacheValid	checksum then slot flag
0x8022AE88	aramCacheCallback	ARQ completion sets the done flag
0x8022ABEC	aramCacheFind	lowercase name searched in the 16 package paths
0x8022ACA8	aramCacheFetch	ARQ ARAM-to-main of one slot
0x8022A854	aramCacheStage	state machine loading the 16 packages into ARAM
0x8025EF88	strcmp	decompiled byte-for-byte (src/)
0x8025C6C4	memcmp	decompiled byte-for-byte (src/)
0x8025C620	wctomb	decompiled byte-for-byte (src/)
0x8025F2B4	strtol	decompiled byte-for-byte (src/)
0x80243A34	__ARQServiceQueueLo	decompiled byte-for-byte (src/)
0x80243B34	__ARQCallbackHack	decompiled byte-for-byte (src/)
0x80243B38	__ARQInterruptServiceRoutine	decompiled byte-for-byte (src/)
0x80243C04	ARQInit	decompiled byte-for-byte (src/)
0x80243C74	ARQPostRequest	decompiled byte-for-byte (src/)
0x80243DD0	ARQSetChunkSize	decompiled byte-for-byte (src/)
0x80243DF0	ARQGetChunkSize	decompiled byte-for-byte (src/)

# The Nintendo SDK memory-card library, recovered from the disassembly
# (Track B1). A name with no note is the SDK's own, fixed by a call
# sequence or a constant that can be nothing else; "our name" marks a
# file-local static, whose spelling the binary cannot give back.
0x802448E4	__CARDDefaultApiCallback	a bare blr; the callback CARDMountAsync, CARDReadAsync, CARDWriteAsync, CARDCreateAsync, CARDDeleteAsync and __CARDFormatRegionAsync all substitute when the caller passes none -- the six functions whose code materialises this address
0x802448E8	__CARDSyncCallback	OSWakeupThread on the control block's thread queue (+140), the one CARDInit initialises; every sync wrapper passes it
0x8024491C	__CARDExtHandler	the handler CARDMountAsync hands EXIAttach: clears attached, drops the EXI callback, cancels the alarm and reports NOCARD to the exi and detach callbacks
0x802449F4	__CARDExiHandler	the EXI callback the mount installs: cancels the timeout, re-locks EXI, reads then clears the card status, IOERROR on status bits 0x18, retries while the counter at +168 lasts
0x80244B0C	__CARDTxHandler	EXIDeselect then EXIUnlock, then card->txCallback (+200), with NOCARD when EXIProbe fails
0x80244BB4	__CARDUnlockedHandler	the callback passed to every EXILock in this library: calls card->unlockCallback (+220) with 1, or with NOCARD when EXIProbe fails
0x80244C38	__CARDEnableInterrupt	one 2-byte EXI immediate, 0x8100 | enable, between select and deselect
0x80244CF8	__CARDReadStatus	2-byte EXI immediate 0x8300 then a 1-byte immediate read into the caller's status
0x80244DE8	__CARDClearStatus	one 1-byte EXI immediate 0x89
0x80244E94	CARDTimeoutHandler	static, our name: the OSAlarm handler; finds its channel by comparing the alarm address with each control block's, then reports IOERROR to card->exiCallback
0x80244F38	CARDRetryTransfer	static, our name: re-selects the card, re-arms the timeout from the command byte (100 ms for 0xF2, a size-scaled one for 0xF1/0xF3/0xF5) and re-issues the DMA
0x80245274	__CARDStart	EXILock with __CARDUnlockedHandler, EXISelect at frequency 4, sets the timeout alarm from the command byte at card->[148] and records the tx and exi callbacks
0x80245428	__CARDReadSegment	a five-byte command -- 0x52 and four address bytes -- then the latency bytes the EXI ID asks for and a 512-byte EXIDma
0x8024555C	__CARDWritePage	a five-byte command -- 0xF2 and four address bytes -- then a 128-byte EXIDma
0x80245678	__CARDEraseSector	a three-byte command -- 0xF1 and two address bytes, so a sector is named by any byte in it -- and no data phase
0x80245758	CARDInit	returns early when both diskIDs are set, then OSRegisterVersion, OSInitAlarm, a thread queue and an alarm per control block, __CARDSetDiskID of the disc header at 0x80000000 and OSRegisterResetFunction
0x8024580C	__CARDSetDiskID	sets both control blocks' diskID (+268), defaulting to the empty ID that follows the array at 0x80318580
0x80245844	__CARDGetControlBlock	channel and diskID checks give FATAL, then NOCARD or BUSY; otherwise takes the block by setting result BUSY and clearing the api callback
0x802458FC	__CARDPutControlBlock	stores the result when the card is still attached or the block was BUSY
0x80245960	CARDGetResultCode	returns __CARDBlock[chan].result after the channel range check
0x80245990	CARDFreeBlocks	free bytes from fat[3] * sectorSize and the count of empty directory entries
0x80245AE0	__CARDSync	sleeps on the card's thread queue until CARDGetResultCode stops being BUSY
0x80245F3C	__CARDUnlock	the mount calls it when the card status says locked and writes its 12-byte output into SRAM; it runs the DSP challenge and drives EXI itself
